method,interval,sMAPE,MASE,OWA,coverage95,width,MSIS,n
naive,analytic,9.1613,2.7773,1.0,0.9494,16.9521,26.4246,359
naive2,analytic,9.1613,2.7773,1.0,0.9494,16.9521,26.4246,359
seasonal_naive,analytic,9.1613,2.7773,1.0,0.9494,16.9521,26.4246,359
theta,analytic,10.6666,3.3097,1.2882,0.9158,16.9521,35.1422,359
naive,empirical,9.1613,2.7773,1.0,0.9055,12.2227,18.2094,359
naive2,empirical,9.1613,2.7773,1.0,0.9055,12.2227,18.2094,359
seasonal_naive,empirical,9.1613,2.7773,1.0,0.9055,12.2227,18.2094,359
theta,empirical,10.6666,3.3097,1.2882,0.8959,13.9282,21.3021,359
