series,method,smape,mase,cover95,width,msis,interval,owa
0,naive,20.166311788809992,3.103515693188563,0.8958333333333334,17.71312535944332,19.537806218409557,analytic,5.717830396935847
0,naive,20.166311788809992,3.103515693188563,1.0,4.652520103806631,4.652520103806631,empirical,5.717830396935847
0,naive2,3.5763395098573896,0.5353799363305786,1.0,26.204603435582776,26.204603435582776,analytic,1.0
0,naive2,3.5763395098573896,0.5353799363305786,0.9583333333333334,4.347540132400835,4.5158836599238255,empirical,1.0
0,seasonal_naive,5.262880743360628,0.8270141628553805,1.0,6.7491655132681325,6.7491655132681325,analytic,1.5081534754899577
0,seasonal_naive,5.262880743360628,0.8270141628553805,0.9583333333333334,5.004566560765282,5.230741658811343,empirical,1.5081534754899577
0,theta,2.808857896901593,0.4381209435790591,1.0,26.204603435582776,26.204603435582776,analytic,0.8018683685491799
0,theta,2.808857896901593,0.4381209435790591,0.9791666666666666,4.854164932851035,4.926743652211072,empirical,0.8018683685491799
1,naive,24.810432146729976,3.926596812199296,0.7916666666666666,17.50025928188315,34.39855846271026,analytic,3.4635219499969345
1,naive,24.810432146729976,3.926596812199296,0.7708333333333334,4.96619420079501,6.856875991147984,empirical,3.4635219499969345
1,naive2,7.356392583769909,1.1047118326229721,1.0,24.831244172814,24.831244172814,analytic,1.0
1,naive2,7.356392583769909,1.1047118326229721,0.5833333333333334,4.241288434010804,9.983632567583136,empirical,1.0
1,seasonal_naive,12.495601926093421,1.9564215936614313,1.0,6.395447930920748,6.395447930920748,analytic,1.7347918378190825
1,seasonal_naive,12.495601926093421,1.9564215936614313,0.3958333333333333,5.027555556551059,21.998266853622187,empirical,1.7347918378190825
1,theta,10.704114131130222,1.6807282732400748,1.0,24.831244172814,24.831244172814,analytic,1.4882471730379434
1,theta,10.704114131130222,1.6807282732400748,0.3541666666666667,4.517500308478009,20.490129027877607,empirical,1.4882471730379434
2,naive,21.946031772429496,3.737844324851394,0.8125,15.535269044123252,32.25018111861402,analytic,4.0077080482428915
2,naive,21.946031772429496,3.737844324851394,0.9375,5.689213498596761,6.708577571927718,empirical,4.0077080482428915
2,naive2,5.243502364594166,0.9759283859953086,1.0,25.752190611796955,25.752190611796955,analytic,1.0
2,naive2,5.243502364594166,0.9759283859953086,0.75,4.469749980094646,7.719806675107117,empirical,1.0
2,seasonal_naive,9.58350733419439,1.6515810659616093,1.0,6.632643657268232,6.632643657268232,analytic,1.7600049454748699
2,seasonal_naive,9.58350733419439,1.6515810659616093,0.6041666666666666,5.051133842124673,11.400768499940627,empirical,1.7600049454748699
2,theta,6.409056095114514,1.2104036208428164,1.0,25.75219061179696,25.75219061179696,analytic,1.2312719964924823
2,theta,6.409056095114514,1.2104036208428164,0.75,4.357983032548022,6.582963363064535,empirical,1.2312719964924823
3,naive,17.801882719081487,3.3983185013404005,0.8125,16.476311352838405,26.689563301360554,analytic,2.104612211844936
3,naive,17.801882719081487,3.3983185013404005,0.9166666666666666,4.254595014241759,4.999819836029364,empirical,2.104612211844936
3,naive2,8.576781155958784,1.5927371370656147,1.0,24.138385854066588,24.138385854066588,analytic,1.0
3,naive2,8.576781155958784,1.5927371370656147,0.5625,3.780422547816221,9.465857806456095,empirical,1.0
3,seasonal_naive,7.3998314703232095,1.4657536137512948,0.9583333333333334,6.216997778756977,6.492627388799824,analytic,0.8915241459300007
3,seasonal_naive,7.3998314703232095,1.4657536137512948,0.8541666666666666,4.983216381450678,6.33401681403461,empirical,0.8915241459300007
3,theta,8.65119425848491,1.605213754298331,1.0,24.138385854066588,24.138385854066588,analytic,1.0082547773561494
3,theta,8.65119425848491,1.605213754298331,0.75,4.16451405095512,5.695617430010228,empirical,1.0082547773561494
4,naive,42.37329480019167,6.73835347588059,0.5208333333333334,15.050471153398558,77.0773045486888,analytic,2.9254192325207447
4,naive,42.37329480019167,6.73835347588059,0.22916666666666666,5.563537009163752,52.231996583883,empirical,2.9254192325207447
4,naive2,15.33501445440236,2.182345565523196,1.0,25.116843598469583,25.116843598469583,analytic,1.0
4,naive2,15.33501445440236,2.182345565523196,0.4375,4.259837041773489,16.89892043621361,empirical,1.0
4,seasonal_naive,7.669556102929338,1.26022006778127,0.9375,6.469005914691891,8.733035850906315,analytic,0.5387974447828747
4,seasonal_naive,7.669556102929338,1.26022006778127,0.8958333333333334,4.917040373633184,6.914189920364384,empirical,0.5387974447828747
4,theta,12.603144185670898,1.7589613943838094,1.0,25.116843598469586,25.116843598469586,analytic,0.8139249475431956
4,theta,12.603144185670898,1.7589613943838094,0.6458333333333334,4.600182885550967,9.270302347285842,empirical,0.8139249475431956
5,naive,20.701915024239632,5.835466120932473,0.7083333333333334,18.499261334678852,53.977594135237986,analytic,6.458601442570506
5,naive,20.701915024239632,5.835466120932473,0.8541666666666666,4.483601567711807,8.054150915425103,empirical,6.458601442570506
5,naive2,3.1064957273032574,0.9332072810582129,1.0,24.34638099195422,24.34638099195422,analytic,1.0
5,naive2,3.1064957273032574,0.9332072810582129,0.8958333333333334,4.728376676316384,6.266573918068781,empirical,1.0
5,seasonal_naive,3.215497311805187,0.9769979755021866,1.0,6.270568275063459,6.270568275063459,analytic,1.04100660815197
5,seasonal_naive,3.215497311805187,0.9769979755021866,1.0,5.589704594729819,5.589704594729819,empirical,1.04100660815197
5,theta,3.6077967689686794,1.0468309712068766,1.0,24.346380991954216,24.346380991954216,analytic,1.1415639936922521
5,theta,3.6077967689686794,1.0468309712068766,0.875,4.847105980080715,6.0637319533491505,empirical,1.1415639936922521
6,naive,23.205312124729424,5.185625131806767,0.625,14.928489480492532,57.7708093736669,analytic,4.574460672922403
6,naive,23.205312124729424,5.185625131806767,0.6458333333333334,5.344857738566767,18.49579278495136,empirical,4.574460672922403
6,naive2,5.379176889592113,1.0725167272469225,1.0,25.75786963571039,25.75786963571039,analytic,1.0
6,naive2,5.379176889592113,1.0725167272469225,0.8333333333333334,4.751935140607013,7.174379818455616,empirical,1.0
6,seasonal_naive,2.2425732776988467,0.47570293355976884,1.0,6.634106326697283,6.634106326697283,analytic,0.4302189530592786
6,seasonal_naive,2.2425732776988467,0.47570293355976884,1.0,4.7872061421130745,4.7872061421130745,empirical,0.4302189530592786
6,theta,4.318743160219031,0.846753225795729,1.0,25.75786963571039,25.75786963571039,analytic,0.7961821908979694
6,theta,4.318743160219031,0.846753225795729,0.875,4.728549017682024,6.150534046742047,empirical,0.7961821908979694
7,naive,17.02545342320412,3.3283419288903624,0.875,17.5641269828133,22.413161072956992,analytic,4.685435627705545
7,naive,17.02545342320412,3.3283419288903624,1.0,3.9846676409917294,3.9846676409917294,empirical,4.685435627705545
7,naive2,3.5235535509450013,0.7332808923662476,1.0,23.54525451529964,23.54525451529964,analytic,1.0
7,naive2,3.5235535509450013,0.7332808923662476,1.0,3.9579280305817597,3.9579280305817597,empirical,1.0
7,seasonal_naive,4.51599311284519,0.8872653680118971,1.0,6.064232956870431,6.064232956870431,analytic,1.2458262805903446
7,seasonal_naive,4.51599311284519,0.8872653680118971,1.0,4.632026541476978,4.632026541476978,empirical,1.2458262805903446
7,theta,3.58371923900655,0.7466028577914828,1.0,23.54525451529964,23.54525451529964,analytic,1.0176214513198456
7,theta,3.58371923900655,0.7466028577914828,1.0,4.317788235484833,4.317788235484833,empirical,1.0176214513198456
8,naive,15.133013410491733,2.7986402593209445,0.8333333333333334,14.081891356537486,24.650862740201433,analytic,5.554073066673068
8,naive,15.133013410491733,2.7986402593209445,1.0,3.540034788710332,3.540034788710332,empirical,5.554073066673068
8,naive2,2.6674073465954544,0.5149441905545739,1.0,23.492915502225678,23.492915502225678,analytic,1.0
8,naive2,2.6674073465954544,0.5149441905545739,0.9583333333333334,3.052542861336179,3.29857671246847,empirical,1.0
8,seasonal_naive,4.170535019931275,0.7855938935543784,1.0,6.050752704711464,6.050752704711464,analytic,1.5445533595066019
8,seasonal_naive,4.170535019931275,0.7855938935543784,0.7916666666666666,3.853585775922237,5.270486605054497,empirical,1.5445533595066019
8,theta,3.5210769712911443,0.6833474581111576,1.0,23.492915502225678,23.492915502225678,analytic,1.3235346465644828
8,theta,3.5210769712911443,0.6833474581111576,0.6875,3.080877815156337,6.145015161781117,empirical,1.3235346465644828
9,naive,8.710725619836348,3.7128068203110365,0.875,21.628398000187396,28.102814411638047,analytic,4.234957051569129
9,naive,8.710725619836348,3.7128068203110365,0.8958333333333334,4.495939900693273,5.905064877271881,empirical,4.234957051569129
