series,method,smape,mase,cover95,width,msis,interval,owa
0,naive,2.0568427004644523,11.459614409362194,1.0,36.270506899688,36.270506899688,analytic,1.0
0,naive,2.0568427004644523,11.459614409362194,1.0,72.90889287537672,72.90889287537672,empirical,1.0
0,naive2,2.0568427004644523,11.459614409362194,1.0,36.270506899688,36.270506899688,analytic,1.0
0,naive2,2.0568427004644523,11.459614409362194,1.0,72.90889287537672,72.90889287537672,empirical,1.0
0,seasonal_naive,2.0568427004644523,11.459614409362194,1.0,36.270506899688,36.270506899688,analytic,1.0
0,seasonal_naive,2.0568427004644523,11.459614409362194,1.0,72.90889287537672,72.90889287537672,empirical,1.0
0,theta,4.146195414407661,23.616598383179777,0.46153846153846156,36.270506899688,319.1491014948889,analytic,2.038330162537731
0,theta,4.146195414407661,23.616598383179777,0.5384615384615384,66.43929618893442,271.2647498955629,empirical,2.038330162537731
1,naive,3.546121018304201,10.397662734779972,0.5384615384615384,23.66583011142017,92.42113802921018,analytic,1.0
1,naive,3.546121018304201,10.397662734779972,1.0,39.320331402703125,39.320331402703125,empirical,1.0
1,naive2,3.546121018304201,10.397662734779972,0.5384615384615384,23.66583011142017,92.42113802921018,analytic,1.0
1,naive2,3.546121018304201,10.397662734779972,1.0,39.320331402703125,39.320331402703125,empirical,1.0
1,seasonal_naive,3.546121018304201,10.397662734779972,0.5384615384615384,23.66583011142017,92.42113802921018,analytic,1.0
1,seasonal_naive,3.546121018304201,10.397662734779972,1.0,39.320331402703125,39.320331402703125,empirical,1.0
1,theta,3.6309492621187087,10.881881331105758,0.5384615384615384,23.66583011142017,107.67678608479432,analytic,1.0352456822965799
1,theta,3.6309492621187087,10.881881331105758,0.46153846153846156,35.678034101505574,98.11584947055022,empirical,1.0352456822965799
2,naive,3.0316447810081786,8.867960451897204,0.6153846153846154,18.978233880994008,70.68107825255562,analytic,1.0
2,naive,3.0316447810081786,8.867960451897204,0.5384615384615384,9.774301386908226,28.961041191773376,empirical,1.0
2,naive2,3.0316447810081786,8.867960451897204,0.6153846153846154,18.978233880994008,70.68107825255562,analytic,1.0
2,naive2,3.0316447810081786,8.867960451897204,0.5384615384615384,9.774301386908226,28.961041191773376,empirical,1.0
2,seasonal_naive,3.0316447810081786,8.867960451897204,0.6153846153846154,18.978233880994008,70.68107825255562,analytic,1.0
2,seasonal_naive,3.0316447810081786,8.867960451897204,0.5384615384615384,9.774301386908226,28.961041191773376,empirical,1.0
2,theta,2.0905469490416926,6.15159630324899,0.8461538461538461,18.978233880994008,25.446002414292103,analytic,0.691631500758612
2,theta,2.0905469490416926,6.15159630324899,0.46153846153846156,7.698740408376571,36.40750170189992,empirical,0.691631500758612
3,naive,20.05374475257137,1.639399355475561,1.0,14.947650500113145,14.947650500113145,analytic,1.0
3,naive,20.05374475257137,1.639399355475561,1.0,10.116203308203866,10.116203308203866,empirical,1.0
3,naive2,20.05374475257137,1.639399355475561,1.0,14.947650500113145,14.947650500113145,analytic,1.0
3,naive2,20.05374475257137,1.639399355475561,1.0,10.116203308203866,10.116203308203866,empirical,1.0
3,seasonal_naive,20.05374475257137,1.639399355475561,1.0,14.947650500113145,14.947650500113145,analytic,1.0
3,seasonal_naive,20.05374475257137,1.639399355475561,1.0,10.116203308203866,10.116203308203866,empirical,1.0
3,theta,27.80066739009186,2.1499944731708975,1.0,14.947650500113145,14.947650500113145,analytic,1.348880292629231
3,theta,27.80066739009186,2.1499944731708975,1.0,7.874798406275902,7.874798406275902,empirical,1.348880292629231
4,naive,23.85791383837989,0.5754703791505468,1.0,16.563784301887917,16.563784301887917,analytic,1.0
4,naive,23.85791383837989,0.5754703791505468,0.9230769230769231,2.4143461941563493,2.539685386584972,empirical,1.0
4,naive2,23.85791383837989,0.5754703791505468,1.0,16.563784301887917,16.563784301887917,analytic,1.0
4,naive2,23.85791383837989,0.5754703791505468,0.9230769230769231,2.4143461941563493,2.539685386584972,empirical,1.0
4,seasonal_naive,23.85791383837989,0.5754703791505468,1.0,16.563784301887917,16.563784301887917,analytic,1.0
4,seasonal_naive,23.85791383837989,0.5754703791505468,0.9230769230769231,2.4143461941563493,2.539685386584972,empirical,1.0
4,theta,20.748080163788746,0.5100051643090002,1.0,16.563784301887917,16.563784301887917,analytic,0.8779462080839182
4,theta,20.748080163788746,0.5100051643090002,1.0,3.0374285420191987,3.0374285420191987,empirical,0.8779462080839182
5,naive,46.346228067124166,1.419694646945463,1.0,16.582729741203742,16.582729741203742,analytic,1.0
5,naive,46.346228067124166,1.419694646945463,1.0,6.871237282694718,6.871237282694718,empirical,1.0
5,naive2,46.346228067124166,1.419694646945463,1.0,16.582729741203742,16.582729741203742,analytic,1.0
5,naive2,46.346228067124166,1.419694646945463,1.0,6.871237282694718,6.871237282694718,empirical,1.0
5,seasonal_naive,46.346228067124166,1.419694646945463,1.0,16.582729741203742,16.582729741203742,analytic,1.0
5,seasonal_naive,46.346228067124166,1.419694646945463,1.0,6.871237282694718,6.871237282694718,empirical,1.0
5,theta,40.29296477794318,1.281423932936344,1.0,16.582729741203742,16.582729741203742,analytic,0.885997846551152
